1210	10656
1331	10713
1452	10856
1573	10746
1694	10698
19080	10623
2420	10753
2541	10759
2662	10779
2783	10586
3630	10736
3751	10611
3872	10641
3993	10786
40903	10706
4840	10727
4961	10915
50704	10860
50825	10939
50946	10752
51914	10540
60505	10761
60626	10660
60747	10627
60868	10967
60989	10790
61715	10684
61836	10843
61957	10708
62804	10948
62925	10678
70306	10963
70427	10612
70548	10672
70669	10670
71516	10727
71637	10798
71758	10654
71879	10677
72605	10590
72726	10831
72847	10891
72968	10685
73815	10613
73936	10831
74904	10738
80107	10638
80228	10665
80349	10827
81317	10964
81438	10842
81559	10818
82406	10734
82527	10804
82648	10677
82769	10658
83616	10764
83737	10956
83858	10813
83979	10810
84705	10766
84826	10727
84947	10922
85915	10620
90029	10763
907	10691
91118	10612
91239	10875
92207	10876
92328	10770
92449	10634
93417	10731
93538	10648
93659	10752
94506	10675
94627	10915
94748	10596
94869	10824
95716	10743
95837	10770
95958	10654
96805	10650
96926	10749
